Trans Date,Post Date,Description,Amount
2025-09-09,2025-09-09,CURSOR AI POWERED IDE,-27.70
2025-09-10,2025-09-10,SQ *EDO JAPAN CALLINGWOOD,-24.83
2025-09-10,2025-09-11,GOOGLE *YouTubePremium,-13.64
2025-09-12,2025-09-12,SQ *EDO JAPAN CALLINGWOOD,-26.45
2025-09-14,2025-09-15,21ST.DEV,-27.73
2025-09-21,2025-09-21,OPENAI,-29.12
2025-09-21,2025-09-22,TELUS COMMUNICATIONS W,-1.59
2025-09-22,2025-09-22,OPENAI,-29.25
2025-09-22,2025-09-23,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM,-147.00
2025-09-24,2025-09-24,GOOGLE *Google One,-28.34
2025-09-24,2025-09-25,OPENAI,-29.22
2025-09-27,2025-09-28,OPENAI,-30.30
2025-09-27,2025-09-28,GITHUB INC,-11.17
2025-09-29,2025-09-30,OPENAI,-28.01
2025-10-01,2025-10-01,SQ *EDO JAPAN CALLINGWOOD,-24.47
2025-10-01,2025-10-02,Porter Airlines,-267.20
2025-10-06,2025-10-06,OPENAI,-31.13
2025-10-08,2025-10-09,PODOLLAN GRANDE PRAIRI,-159.09
2025-09-09,2025-09-09,PAYMENT RECEIVED,50.00
