Date,Type,Amount,Description
2025-11-07,DEBIT,-1.77,MCDONALD'S #260 EDMONTON AB
2025-11-07,DEBIT,-18.89,THE TASTE OF NO EDMONTON AB
2025-11-07,DEBIT,-35.63,551 - LD CALLIN EDMONTON AB
2025-11-07,DEBIT,-2.25,ONLINE PURCHASE TIM HORTONS 2471 AB
2025-11-10,DEBIT,-85.03,100 VAPE SHOP EDMONTON AB
2025-11-10,DEBIT,-187.72,CANADIAN TIRE EDMONTON AB
2025-11-10,DEBIT,-8.07,BURGER KING #12 EDMONTON AB
2025-11-10,DEBIT,-40.19,ACE LIQUOR TERR EDMONTON AB
2025-11-10,DEBIT,-36.57,KFC #1716 EDMONTON AB
2025-11-10,DEBIT,-4.19,M M FOOD MARKET EDMONTON AB
2025-11-10,DEBIT,-58.77,WALMART STORE EDMONTON AB
2025-11-10,DEBIT,-33.35,GREAT CLIPS - M EDMONTON AB
2025-11-10,DEBIT,-19.43,SEAFOOD CITY EDMONTON AB
2025-11-10,DEBIT,-2.25,ONLINE PURCHASE TIM HORTONS 2471 AB
2025-11-10,DEBIT,-34.21,ONLINE PURCHASE UBER HOLDINGS CANADA ON
2025-11-10,DEBIT,-23.76,ONLINE PURCHASE UBER CANADA/UBEREATS ON
2025-11-10,DEBIT,-5.13,ONLINE PURCHASE UBER CANADA/UBEREATS ON
2025-11-12,DEBIT,-1000.00,HOME TR VISA
2025-11-12,DEBIT,-136.50,COSTCO WHOLESALE W1112 EDMONTON AB
2025-11-12,DEBIT,-22.04,COSTCO WHOLESALE W1112 EDMONTON AB
2025-11-12,DEBIT,-41.24,502 - LD CALLIN EDMONTON AB
2025-11-12,DEBIT,-40.00,MINI MAX CONVEN EDMONTON AB
2025-11-12,DEBIT,-1.77,MCDONALD'S #260 EDMONTON AB
2025-11-12,DEBIT,-45.38,HUGHES PETROLEUM LTD EDMONTON AB
2025-11-12,DEBIT,-8.39,CARL'S JR EDMONTON AB
2025-11-12,DEBIT,-786.12,HOLIDAY INN EXPRESS CO COLD LAKE AB
2025-11-12,DEBIT,-38.09,NAP LIQUOR COLD LAKE AB
2025-11-12,DEBIT,-45.69,ORIGINAL JOE'S COLD LAKE AB
2025-11-12,DEBIT,-6.04,ORIGINAL JOE'S COLD LAKE AB
2025-11-13,DEBIT,-2.52,TIM HORTONS #19 COLD LAKE AB
2025-11-13,DEBIT,-1.58,MCDONALD'S 1042 COLD LAKE AB
2025-11-13,DEBIT,-33.56,BOSTON PIZZA COLD LAKE AB
2025-11-13,DEBIT,-2.25,ONLINE PURCHASE TIM HORTONS 2471 AB
2025-11-13,CREDIT,23.76,ONLINE REFUND UBER CANADA ON
2025-11-14,CREDIT,2757.96,E-D CON SRV INC PAY/PAY
2025-11-14,DEBIT,-570.00,ICASH15042383 LNS/PRE
2025-11-14,DEBIT,-1.58,MCDONALD'S 1042 COLD LAKE AB
2025-11-14,CREDIT,500.00,HOLIDAY INN EXP
2025-11-14,DEBIT,-34.98,SHELL C11993 COLD LAKE AB
2025-11-14,DEBIT,-1.58,MCDONALD'S 1042 COLD LAKE AB
